State,Count,Area,Estimated Total Cost of Replacement,Estimated Total Cost of Rehab
Alabama,689,2657411,313267151,213021663
Alaska,155,636541,233630713,158868885
Arizona,150,1027120,139182874,94644354
Arkansas,588,3376602,492474345,334882555
California,1812,21542202,7099847998,4827896639
Colorado,473,2231025,322722695,219451433
Connecticut,308,4386812,1628105128,1107111487
Delaware,34,629274,135860277,92384988
District Of Columbia,8,243020,95178945,64721682
Florida,328,3017041,398746522,271147635
Georgia,494,2538858,391998658,266559088
Hawaii,78,307649,342829045,233123751
Idaho,315,913236,176737154,120181264
Illinois,2273,16118259,2935723136,1996291732
Indiana,1203,3504268,1167749274,794069506
Iowa,4675,9565246,1004526677,683078140
Kansas,1288,2628352,276648105,188120711
Kentucky,1016,3342895,518705874,352719994
Louisiana,1678,14894001,2245016887,1526611483
Maine,325,1127420,262820126,178717686
Maryland,274,1880612,622296031,423161301
Massachusetts,481,5209607,2204702468,1499197678
Michigan,1196,6451181,1429260707,971897281
Minnesota,668,2693521,422878634,287557471
Mississippi,1603,4480683,349821773,237878806
Missouri,2116,9789482,1033053338,702476270
Montana,390,1735957,253792259,172578736
Nebraska,1358,2411579,395548020,268972653
Nevada,27,148863,43318457,29456551
New Hampshire,224,1004101,298465802,202956745
New Jersey,544,5325612,2409253874,1638292634
New Mexico,232,1080857,217033444,147582742
New York,1757,14293079,4140484321,2815529338
North Carolina,1871,9793418,1172874679,797554781
North Dakota,469,730163,123601465,84048996
Ohio,1518,5187083,942085939,640618438
Oklahoma,2540,5837152,608187459,413567472
Oregon,422,2019150,398379941,270898360
Pennsylvania,3770,12598366,3932224692,2673912791
Rhode Island,180,2041850,827932032,562993782
South Carolina,795,4888612,634447677,431424420
South Dakota,973,1548423,253443555,172341617
Tennessee,871,4382478,450973205,306661779
Texas,695,5402516,432036191,293784610
Utah,66,153025,29775942,20247641
Vermont,66,302397,95455288,64909596
Virginia,646,4506452,1194394146,812188019
Washington,382,5805796,1262699015,858635330
West Virginia,1444,5733238,1035833848,704367016
Wisconsin,1054,3170140,380797655,258942405
Wyoming,257,1305140,185724014,126292329
Puerto Rico,273,2106691,402994075,274035971
Totals,47052,228704457,48365541523,32888568236
